i	subtype	clegId	det	hm	more
1	rod	r/1:a,b,c	1.0	r/p 1
2	rod	r/2:a,b,c	1.0	r/p -1
3	rod	r/3:a,b,c	1.0	r/pc 2 1 1
4	rod	r/3:b,-a,c	1.0	r/pc 1 2 1
5	rod	r/3:-c,b,a	1.0	r/pa 1 1 2
6	rod	r/3:b,c,a	1.0	r/pb 1 1 2
7	rod	r/3:a,-c,b	1.0	r/pb 2 1 1
8	rod	r/3:-c,-a,b	1.0	r/pa 1 2 1
9	rod	r/4:a,b,c	1.0	r/pc m 1 1
10	rod	r/4:b,-a,c	1.0	r/pc 1 m 1
11	rod	r/4:-c,b,a	1.0	r/pa 1 1 m
12	rod	r/4:b,c,a	1.0	r/pb 1 1 m
13	rod	r/4:a,-c,b	1.0	r/pb m 1 1
14	rod	r/4:-c,-a,b	1.0	r/pa 1 m 1
15	rod	r/5:a,b,c	1.0	r/pc c 1 1
16	rod	r/5:b,-a,c	1.0	r/pc 1 c 1
17	rod	r/5:-c,b,a	1.0	r/pa 1 1 a
18	rod	r/5:b,c,a	1.0	r/pb 1 1 b
19	rod	r/5:a,-c,b	1.0	r/pb b 1 1
20	rod	r/5:-c,-a,b	1.0	r/pa 1 a 1
21	rod	r/6:a,b,c	1.0	r/pc 2/m 1 1
22	rod	r/6:b,-a,c	1.0	r/pc 1 2/m 1
23	rod	r/6:-c,b,a	1.0	r/pa 1 1 2/m
24	rod	r/6:b,c,a	1.0	r/pb 1 1 2/m
25	rod	r/6:a,-c,b	1.0	r/pb 2/m 1 1
26	rod	r/6:-c,-a,b	1.0	r/pa 1 2/m 1
27	rod	r/7:a,b,c	1.0	r/pc 2/c 1 1
28	rod	r/7:b,-a,c	1.0	r/pc 1 2/c 1
29	rod	r/7:-c,b,a	1.0	r/pa 1 1 2/a
30	rod	r/7:b,c,a	1.0	r/pb 1 1 2/b
31	rod	r/7:a,-c,b	1.0	r/pb 2/b 1 1
32	rod	r/7:-c,-a,b	1.0	r/pa 1 2/a 1
33	rod	r/8:a,b,c	1.0	r/pc 1 1 2
34	rod	r/8:b,-a,c	1.0	r/pc 1 1 2
35	rod	r/8:-c,b,a	1.0	r/pa 2 1 1
36	rod	r/8:b,c,a	1.0	r/pb 1 2 1
37	rod	r/8:a,-c,b	1.0	r/pb 1 2 1
38	rod	r/8:-c,-a,b	1.0	r/pa 2 1 1
39	rod	r/9:a,b,c	1.0	r/pc 1 1 21
40	rod	r/9:b,-a,c	1.0	r/pc 1 1 21
41	rod	r/9:-c,b,a	1.0	r/pa 21 1 1
42	rod	r/9:b,c,a	1.0	r/pb 1 21 1
43	rod	r/9:a,-c,b	1.0	r/pb 1 21 1
44	rod	r/9:-c,-a,b	1.0	r/pa 21 1 1
45	rod	r/10:a,b,c	1.0	r/pc 1 1 m
46	rod	r/10:b,-a,c	1.0	r/pc 1 1 m
47	rod	r/10:-c,b,a	1.0	r/pa m 1 1
48	rod	r/10:b,c,a	1.0	r/pb 1 m 1
49	rod	r/10:a,-c,b	1.0	r/pb 1 m 1
50	rod	r/10:-c,-a,b	1.0	r/pa m 1 1
51	rod	r/11:a,b,c	1.0	r/pc 1 1 2/m
52	rod	r/11:b,-a,c	1.0	r/pc 1 1 2/m
53	rod	r/11:-c,b,a	1.0	r/pa 2/m 1 1
54	rod	r/11:b,c,a	1.0	r/pb 1 2/m 1
55	rod	r/11:a,-c,b	1.0	r/pb 1 2/m 1
56	rod	r/11:-c,-a,b	1.0	r/pa 2/m 1 1
57	rod	r/12:a,b,c	1.0	r/pc 1 1 21/m
58	rod	r/12:b,-a,c	1.0	r/pc 1 1 21/m
59	rod	r/12:-c,b,a	1.0	r/pa 21/m 1 1
60	rod	r/12:b,c,a	1.0	r/pb 1 21/m 1
61	rod	r/12:a,-c,b	1.0	r/pb 1 21/m 1
62	rod	r/12:-c,-a,b	1.0	r/pa 21/m 1 1
63	rod	r/13:a,b,c	1.0	r/pc 2 2 2
64	rod	r/13:b,-a,c	1.0	r/pc 2 2 2
65	rod	r/13:-c,b,a	1.0	r/pa 2 2 2
66	rod	r/13:b,c,a	1.0	r/pb 2 2 2
67	rod	r/13:a,-c,b	1.0	r/pb 2 2 2
68	rod	r/13:-c,-a,b	1.0	r/pa 2 2 2
69	rod	r/14:a,b,c	1.0	r/pc 2 2 21
70	rod	r/14:b,-a,c	1.0	r/pc 2 2 21
71	rod	r/14:-c,b,a	1.0	r/pa 21 2 2
72	rod	r/14:b,c,a	1.0	r/pb 2 21 2
73	rod	r/14:a,-c,b	1.0	r/pb 2 21 2
74	rod	r/14:-c,-a,b	1.0	r/pa 21 2 2
75	rod	r/15:a,b,c	1.0	r/pc m m 2
76	rod	r/15:b,-a,c	1.0	r/pc m m 2
77	rod	r/15:-c,b,a	1.0	r/pa 2 m m
78	rod	r/15:b,c,a	1.0	r/pb m 2 m
79	rod	r/15:a,-c,b	1.0	r/pb m 2 m
80	rod	r/15:-c,-a,b	1.0	r/pa 2 m m
81	rod	r/16:a,b,c	1.0	r/pc c c 2
82	rod	r/16:b,-a,c	1.0	r/pc c c 2
83	rod	r/16:-c,b,a	1.0	r/pa 2 a a
84	rod	r/16:b,c,a	1.0	r/pb b 2 b
85	rod	r/16:a,-c,b	1.0	r/pb b 2 b
86	rod	r/16:-c,-a,b	1.0	r/pa 2 a a
87	rod	r/17:a,b,c	1.0	r/pc m c 21
88	rod	r/17:b,-a,c	1.0	r/pc c m 21
89	rod	r/17:-c,b,a	1.0	r/pa 21 a m
90	rod	r/17:b,c,a	1.0	r/pb b 21 m
91	rod	r/17:a,-c,b	1.0	r/pb m 21 b
92	rod	r/17:-c,-a,b	1.0	r/pa 21 m a
93	rod	r/18:a,b,c	1.0	r/pc 2 m m
